Thumbnail,Track Name,Author Time,Top Time,10k Time,10k Time % Difference,Top Time % Difference,10k Time Difference,Top Time Difference,Completed
https://core.trackmania.nadeo.live/maps/f5dced31-0fd2-4bc9-91ab-0f02c150b21d/thumbnail.jpg,Winter 2022 - 21,62.858,58.581,62.895,-0.06,6.8,-0.03700000000000614,4.276999999999994,False
https://core.trackmania.nadeo.live/maps/f2e70ecb-e8c5-49ed-a71c-ca5766ea98a8/thumbnail.jpg,Winter 2022 - 22,59.497,54.741,59.296,0.34,7.99,0.2010000000000005,4.756,False
https://core.trackmania.nadeo.live/maps/d4972bc5-73af-438f-b02a-b4de8dc2e5f2/thumbnail.jpg,Winter 2022 - 23,65.678,61.633,68.494,-4.29,6.16,-2.8160000000000025,4.044999999999995,False
https://core.trackmania.nadeo.live/maps/a0537577-c332-49b2-8600-271b8ffa6185/thumbnail.jpg,Winter 2022 - 24,67.452,61.634,69.652,-3.26,8.63,-2.200000000000003,5.817999999999998,False
https://core.trackmania.nadeo.live/maps/0d27d57c-a8ca-43af-91ec-98a008aff27d/thumbnail.jpg,Winter 2022 - 25,74.684,67.2,76.022,-1.79,10.02,-1.338000000000008,7.483999999999995,False
https://core.trackmania.nadeo.live/maps/2d87d82c-0bc7-4e76-bd29-69bf2b10ebaf/thumbnail.jpg,Fall 2021 - 1,24.448,23.178,23.892,2.27,5.19,0.5560000000000009,1.2699999999999996,False
https://core.trackmania.nadeo.live/maps/7026a60a-cc4c-4322-900a-b64d16160802/thumbnail.jpg,Fall 2021 - 2,17.234,16.251,16.71,3.04,5.7,0.5240000000000009,0.9830000000000005,False
https://core.trackmania.nadeo.live/maps/da892fb1-402a-472b-b95d-bd8cfed96e50/thumbnail.jpg,Fall 2021 - 3,26.715,25.318,25.855,3.22,5.23,0.8599999999999994,1.3969999999999985,False
https://core.trackmania.nadeo.live/maps/1ca6150b-960d-41d3-9805-8960925317bc/thumbnail.jpg,Fall 2021 - 4,24.756,23.996,24.392,1.47,3.07,0.36400000000000077,0.7600000000000016,False
https://core.trackmania.nadeo.live/maps/7378d9ad-4cd7-4642-8360-301def0d14a5/thumbnail.jpg,Fall 2021 - 5,32.826,28.585,30.822,6.1,12.92,2.0040000000000013,4.241,False
https://core.trackmania.nadeo.live/maps/7bd387fa-e5a1-4a8a-9f41-c54d2f52ba78/thumbnail.jpg,Fall 2021 - 6,28.942,26.558,27.715,4.24,8.24,1.2270000000000003,2.3840000000000003,False
https://core.trackmania.nadeo.live/maps/b90f90e2-e7fb-4628-83b2-d8d723974884/thumbnail.jpg,Fall 2021 - 7,30.988,28.468,30.326,2.14,8.13,0.661999999999999,2.5199999999999996,False
https://core.trackmania.nadeo.live/maps/35fd44f5-8811-4f2c-9159-4b1eb774d28e/thumbnail.jpg,Fall 2021 - 8,33.355,31.157,32.862,1.48,6.59,0.492999999999995,2.197999999999997,False
https://core.trackmania.nadeo.live/maps/76a435b6-f034-4ef9-8d11-534b169844be/thumbnail.jpg,Fall 2021 - 9,33.201,29.975,32.508,2.09,9.72,0.6929999999999978,3.225999999999999,False
https://core.trackmania.nadeo.live/maps/7997e20e-78b5-418a-a8f9-5c4c0785b208/thumbnail.jpg,Fall 2021 - 10,37.528,35.888,36.935,1.58,4.37,0.5929999999999964,1.6400000000000006,False
https://core.trackmania.nadeo.live/maps/11022b79-a442-42f9-8463-c557779ec500/thumbnail.jpg,Fall 2021 - 11,39.412,35.114,38.515,2.28,10.91,0.8969999999999985,4.298000000000002,False
